,price,location,Street,Acres
0,,,,
1,"2,160,000","RockSprings,WY82901",EGATEWAYBoulevard,10.05 acres
2,"1,680,000","RockSprings,WY82901",WGATEWAYBoulevard,6.9 acres
3,"750,000","RockSprings,WY82901",2000CHURCHILLStreet,3.03 acres
4,"295,000","RockSprings,WY82901",TbdYELLOWSTONERD.,20 acres
5,"449,900","RockSprings,WY82901",817WindriverDrive,
6,,,,
7,,,,
